time,device_address,physical_payload,gateway,crc_status,frequency,spreading_factor,bandwidth,code_rate,rssi,snr,size,mtype,fcnt,fport,size_array,fopts_size
2020-05-01T00:02:02.476762Z,26012517,QBclASYACB4BOrTYnaDWqx+VWqYapej6OptJQSHFHyYtsztevGmeDZerf4FesW5j9CcNV8fJIpt9RSEWW1w=,0000024b0b031c97,1,867300000,12.0,125.0,4/5,-111,-17.8,-1,10,7688,1.0,62,0.0
2020-05-01T00:02:04.076071Z,26012682,QIImASYAJtQBO56zz1vKNNSelg==,0000024b0b031c97,1,867900000,7.0,125.0,4/5,-79,9.0,-1,10,54310,1.0,19,0.0
2020-05-01T00:02:11.086149Z,-1,AGNjbm9icmFjiBkE/v9YF6g3Av+1/qU=,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-101,7.0,-1,0,-1,-1.0,23,2.0
2020-05-01T00:02:12.123524Z,-1,9UVXiebgTdQ=,0000024b0b031c97,1,868500000,8.0,125.0,4/6,-90,0.5,-1,111,-1,-1.0,8,9.0
2020-05-01T00:02:15.840005Z,14000005,QAUAABSA07cKVlJsY/V0s98ebDfjvU8/XO8=,0000024b0b031c97,1,868100000,12.0,125.0,4/5,-108,-12.8,-1,10,47059,10.0,26,0.0
2020-05-01T00:02:17.160252Z,26012cd1,QNEsASaAzVgFu1APMtmsfff0WGD57CIDQjRWND/f,0000024b0b031c97,1,867100000,7.0,125.0,4/5,-107,-5.5,-1,10,22733,5.0,30,0.0
2020-05-01T00:02:18.171258Z,-1,AGNjbm9icmFjiBkE/v9YF6gET7+3Ps4=,0000024b0b031c97,1,868100000,8.0,125.0,4/5,-99,0.0,-1,0,-1,-1.0,23,2.0
2020-05-01T00:02:26.220472Z,26012682,QIImASYAJ9QBPpROyydRtYoRfw==,0000024b0b031c97,1,868500000,7.0,125.0,4/5,-76,7.5,-1,10,54311,1.0,19,0.0
2020-05-01T00:02:29.552519Z,-1,AGNjbm9icmFjiBkE/v9YF6hXnzn9NWQ=,0000024b0b031c97,1,868300000,7.0,125.0,4/5,-99,2.5,-1,0,-1,-1.0,23,2.0
2020-05-01T00:02:34.577228Z,04a04a65,QGVKoASAQAsBPqTlkh/mRM/fTsYzAdMSMI2uXOEMORQJ2Toa,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-101,1.0,-1,10,2880,1.0,36,0.0
2020-05-01T00:02:36.584213Z,-1,AGNjbm9icmFjiBkE/v9YF6guz7rqvGI=,0000024b0b031c97,1,868100000,7.0,125.0,4/5,-101,4.8,-1,0,-1,-1.0,23,2.0
