size_compress,headers_length,packets_rank,level_compress_15,level_compress_31,level_compress_47,level_compress_63,level_compress_79,level_compress_95,level_compress_111,level_compress_127,level_compress_143,level_compress_159,level_compress_175,level_compress_191,level_compress_207,level_compress_223,level_compress_239,level_compress_255,level_compress_271,level_compress_287,level_compress_303,level_compress_319,level_compress_335,level_compress_351,level_compress_367,level_compress_383,level_compress_399,level_compress_415,level_compress_431,level_compress_447,level_compress_463,level_compress_479,level_compress_495,level_compress_511,level_compress_527,level_compress_543,level_compress_559,level_compress_575,level_compress_591,level_compress_607,level_compress_623,level_compress_639,level_compress_655,level_compress_671,level_compress_687,level_compress_703,level_compress_719,level_compress_735,level_compress_751,level_compress_767,level_compress_783,level_compress_799,idx_unique
470,816,8,16,21,28,65,65,65,65,65,65,65,65,67,71,71,71,71,71,71,71,71,71,90,93,109,124,142,159,162,163,182,182,182,182,189,220,227,242,269,269,280,311,327,341,368,371,396,411,430,450,462,372217
167,496,1,16,20,31,32,32,32,32,32,32,32,32,32,40,40,40,40,40,40,40,48,49,56,71,91,108,125,142,142,149,167,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,372258
137,448,8,16,20,29,37,37,37,37,37,37,37,37,41,44,44,44,44,44,44,44,44,45,64,67,83,96,112,132,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,372265
142,448,7,16,20,33,36,36,36,36,36,36,36,36,42,45,45,45,45,45,45,45,45,45,68,68,83,98,117,136,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,372636
130,432,11,16,20,32,32,34,34,34,34,34,34,34,38,41,41,41,41,41,41,41,41,41,64,66,85,101,119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,372808
130,432,4,16,20,33,33,33,33,33,33,33,33,33,33,37,37,37,37,37,37,37,45,46,52,68,84,101,115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,372825
134,432,4,16,20,32,32,34,34,34,34,34,34,34,35,37,37,37,37,37,37,37,44,45,54,67,84,102,116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,372873
130,432,2,16,20,33,33,34,34,34,34,34,34,34,39,42,42,42,42,42,42,42,42,42,63,66,83,98,114,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,372943
160,496,1,16,20,33,36,36,36,36,36,36,36,36,40,40,40,40,40,40,40,40,48,48,58,69,86,99,121,137,137,145,160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,372966
131,432,6,16,20,25,25,25,25,25,25,25,25,25,36,40,40,40,40,40,40,40,40,40,62,64,80,93,113,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,372983
167,496,1,16,20,32,35,35,35,35,35,35,35,35,39,41,41,41,41,41,41,41,44,50,56,72,88,103,122,138,147,152,167,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,373218
174,496,1,16,20,31,36,36,36,36,36,36,36,36,36,40,40,40,40,40,40,40,48,49,55,77,92,102,127,143,150,153,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,373242
166,496,2,16,20,27,35,37,37,37,37,37,37,37,38,38,38,38,38,38,38,38,47,48,51,73,89,104,121,138,142,150,165,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,373315
